# BEAST v1.6.1, Build r3651
# Generated Sun Nov 08 18:54:00 EST 2015 [seed=1447026808856]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Felis/Lynx/Puma)	tmrca(Lion/Leopard)	tmrca(untitled3)	yule.birthRate	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
8200	-8125.472434227815	-26.605393090356607	-8098.867041137459	23.14094719801245	6.0912634895562565	3.4393474436023603	6.860037003893182	0.03887828551346206	2.2254203613623753	0.511509184480025	0.027863506331846227	0.1037292014431849	0.027431231457719384	0.0670787548318605	0.23091816713767263	-8098.867041137459	-22.905091843792814
8400	-8128.072235667394	-28.681902245730527	-8099.390333421664	32.3965687250817	7.928818863468772	4.970078326604506	8.837948650581824	0.030888841767441926	2.2254203613623753	0.511509184480025	0.020934176242024132	0.035009651066458	0.020921116268255078	0.02856961914705688	-0.14178674325021595	-8099.390333421664	-24.653822948371463
8600	-8129.376733698755	-27.807649512260213	-8101.569084186494	32.5214228171637	8.530034981858083	4.483847653398104	8.837948650581824	0.05216873765889578	2.2254203613623753	0.511509184480025	0.019563822843142332	0.01502749383395769	0.019321803918405673	0.01261149503240003	-0.4666995611437354	-8101.569084186494	-23.93274325247322
8800	-8125.022487900412	-26.469962064814958	-8098.5525258355965	24.647226720924113	6.646671154436666	3.4635783412928345	6.910302451033982	0.10626625974483389	2.2254203613623753	0.511509184480025	0.027445451353691083	0.033072901918147456	0.02690371869075268	0.02685249888330781	-0.2530006893930893	-8098.5525258355965	-23.222064283612266
9000	-8127.745622546732	-25.290588327792555	-8102.4550342189395	22.270106850922055	6.235199200707436	3.7456432676588363	6.235199200707436	0.0623207018675586	2.2254203613623753	0.511509184480025	0.028216804620949713	0.02570215379357422	0.028504701449111505	0.021417871371860363	-0.48049291415380674	-8102.4550342189395	-21.936581731428973
9200	-8125.458525650464	-25.43681652282811	-8100.021709127636	14.962210488533024	4.517921339075054	2.545322466841228	4.601493849062201	0.09188373514084842	2.2254203613623753	0.48553314337070713	0.038234843594307996	0.03673508580305525	0.03917533978607386	0.0438313812860813	0.13655671425048777	-8100.021709127636	-19.777653019826573
9400	-8129.467606025126	-25.78088484275826	-8103.686721182367	17.40540060398409	5.969588522452551	2.8000297487976136	5.969588522452551	0.15351594086178758	2.2254203613623753	0.48553314337070713	0.03500395211062146	0.06414849194906672	0.034685001506488476	0.0534437696247119	0.28330671346556874	-8103.686721182367	-21.777566561953837
9600	-8125.372463444411	-25.637501895793363	-8099.734961548617	20.939344370113275	5.559903474796552	2.616854803253354	5.559903474796552	0.08960101452932549	2.2254203613623753	0.48553314337070713	0.03443872544954806	0.04191592764496725	0.03406658254771734	0.034549313652600354	0.25320217476359924	-8099.734961548617	-21.22598322518784
9800	-8126.887094136054	-26.306193021338302	-8100.580901114716	25.773352726835977	7.050378271185987	3.993678197449947	7.050378271185987	0.08960101452932549	2.2254203613623753	0.48553314337070713	0.02637651540015128	0.04061432772144774	0.02619163089146574	0.038024616659415866	-0.013533351110043836	-8100.580901114716	-23.097324534762883
10000	-8129.586211350387	-28.618491812722116	-8100.967719537665	22.956209020884035	7.292435916179102	3.8261684339962057	7.292435916179102	0.1571540053765136	2.2254203613623753	0.48553314337070713	0.025969296920533024	0.02639050451827473	0.025862986158167046	0.025109811821924406	0.3870087853177421	-8100.967719537665	-25.478349488317924
10200	-8126.559492752584	-26.154766855254966	-8100.40472589733	19.24848744968022	4.715846462097253	3.537785083586063	5.4988314204301165	0.11793537189924651	2.2254203613623753	0.48553314337070713	0.032276089453265565	0.05776218027080463	0.03210173574777386	0.05792392725123785	-0.39839288060391037	-8100.40472589733	-21.314322478356043
10400	-8128.167820914476	-26.996238149093497	-8101.1715827653825	17.380328659363016	3.8100883959828553	2.7080046349580864	4.26707462698765	0.13168610428529037	2.2254203613623753	0.48553314337070713	0.043874061389943986	0.04332852570145736	0.04254483646103138	0.03906565230872152	0.1448204648450088	-8101.1715827653825	-20.335898498776825
10600	-8126.5068169614315	-26.491610625152635	-8100.015206336278	17.59040423466391	4.147011881242237	2.6322575342853396	4.376533265470659	0.07987064430683624	2.2254203613623753	0.48553314337070713	0.04059443749889098	0.04118633122025871	0.03971070768336527	0.03705078404094843	-0.06662984544921749	-8100.015206336278	-20.343278374164658
