# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 17:26:21 EST 2016 [seed=1451773564380]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
2000	-366913.3525277107	-972.4698823728023	-365940.8826453379	2633538.1105447276	766679.4672791625	531977.3304865268	1502497.9170779046	528756.7258021643	8529508.241251158	2.5001869300098676	2.6610401269722583	2.499564481451506	0.4616673560780379	0.5	0.5	1.0035845798912801	1.0049575907270538	0.9914562353957324	4.3950679003710724E-7	-116532.17055429709	-120891.65248430127	-128517.05960673954	-957.9776482643744
2100	-364980.6236342435	-984.0305920167027	-363996.5930422268	3084206.7760837367	944136.4987523769	655109.776193215	1850268.8324847834	640523.3823722065	1.4479012591976777E7	2.5001869300098676	2.6610401269722583	2.499564481451506	0.4616673560780379	0.5	0.5	1.0035845798912801	1.0049575907270538	0.9914562353957324	3.5689842739529597E-7	-115854.24115483662	-120288.55236084377	-127853.79952654643	-969.2171831645558
2200	-364461.83887364645	-1002.803773692574	-363459.0350999539	4243453.225262953	1334811.9178704529	926188.467379116	2615893.879887693	905566.3514702801	1.4931872846967243E7	2.5001869300098676	2.6610401269722583	2.6638992798430614	0.4616673560780379	0.5	0.5	1.0035845798912801	1.029925180308432	0.9664839868127529	2.5244068257107595E-7	-115684.37681722465	-120126.22096717377	-127648.43731555545	-988.2439421732113
2300	-362829.9115323325	-1015.8717490265311	-361814.03978330595	4946709.231758422	1647666.149000977	1078683.8917861127	2876693.245256247	1117813.6807261494	2.634432883408017E7	2.5001869300098676	2.6610401269722583	2.6638992798430614	0.4616673560780379	0.5	0.5	1.0035845798912801	0.9896576752937767	1.0067590058234923	2.0450795317700268E-7	-115162.8374115205	-119573.79928025443	-127077.40309153098	-1000.9545213910538
2400	-361405.70527830283	-1015.7158331187882	-360389.98944518407	4618669.17798985	1733839.116683804	1078683.8917861127	2876693.245256247	1117813.6807261494	2.634432883408017E7	2.5001869300098676	2.6610401269722583	2.6638992798430614	0.6107708830962711	0.6386817469804289	0.5	1.0035845798912801	0.9896576752937767	1.0067590058234923	2.0450795317700268E-7	-114585.73256754238	-119110.18293808405	-126694.07393955765	-1000.7986054833109
2500	-359983.23894057074	-1018.4893176392194	-358964.74962293153	4475081.685873242	1856014.804879436	1154693.7969476564	2293824.6733227614	1727786.8363031626	2.306259164451679E7	2.5001869300098676	2.6610401269722583	2.6638992798430614	0.6385099996140824	0.6386817469804289	0.5	0.9846234268404549	1.0086188283446018	1.0067590058234923	1.910458300004026E-7	-114137.32381349773	-118619.90868173706	-126207.51712769674	-1003.773156560666
2600	-358837.00837326614	-1017.624760866275	-357819.38361239986	4466219.0701419	1756552.345739423	962204.0806508686	2299059.8173713097	1727786.8363031626	2.2944843086132E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5549138373834774	0.9846234268404549	1.0086188283446018	1.0067590058234923	1.910458300004026E-7	-113880.89497884977	-118281.0869162968	-125657.40171725328	-1002.7373454675745
2700	-358038.3255794648	-1017.773354049096	-357020.5522254157	4462447.082548844	1758286.9852051022	962204.0806508686	2299059.8173713097	1727786.8363031626	2.2944843086132E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5549138373834774	0.9846234268404549	0.9991890031822899	1.0161905906098316	2.021575651651131E-7	-113683.69029809082	-118015.93237417158	-125320.9295531533	-1002.8294611124571
2800	-357210.90190831106	-1031.9396795051962	-356178.9622288059	5636794.220660659	2315538.2372030336	1215419.7687003168	2904085.3262308463	2182474.9231187394	2.293978423762006E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9331140002147029	0.9637210719869591	1.1031841785779233	1.600408674809676E-7	-113435.15411993937	-117744.1866268323	-124999.62148203424	-1017.2293916678988
2900	-356923.92291057564	-1026.5385772670663	-355897.38433330855	5191492.195209983	2148865.160625461	1127933.520825965	2695048.468972402	2012670.3813583367	2.5644925604581453E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.724541655556744E-7	-113359.2429483596	-117630.33287644063	-124907.80850850829	-1011.6421888284628
3000	-355778.1479215833	-1019.5633609862326	-354758.5845605971	4461292.196706506	1869545.898883726	981319.594506287	2344733.818009167	1364220.2313272462	2.5644925604581453E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.9821965771933792E-7	-112941.11577371604	-117257.53925946937	-124559.9295274117	-1004.5278674879432
