# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:36:19 EST 2016 [seed=1451770534910]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
3400	-341974.6695054026	-856.9976172559863	-341117.6718881466	279796.86706953164	85163.35290157457	82465.73129245538	129846.71052998972	65049.2710244761	1347733.673373665	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	2.9450956139049387E-6	-108234.45045851756	-112652.64939183548	-120230.57203779358	-842.6774020348657
3500	-340672.77076927794	-855.7746915109365	-339816.996077767	268225.13371158094	82198.463154602	79594.75694897019	125359.1794877538	62784.63594216074	1407318.7711212253	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	3.051324896721302E-6	-107815.84964485312	-112232.30758445238	-119768.8388484615	-841.3758152267112
3600	-340454.97284970165	-869.6252876025184	-339585.3475620991	343462.25348549325	105580.73066215617	102236.37125359701	161018.99302705415	80644.42427181412	1660424.6392859714	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9804771834018216	1.0040440900673882	1.0154816148917778	2.3755681128826123E-6	-107722.51404296274	-112181.07082315678	-119681.76269597956	-855.3111131909253
3700	-340140.5666532156	-891.2366018716039	-339249.330051344	500015.97585586034	164473.52555853885	146588.86659673593	234413.15053606324	120330.27625239293	2128567.808929584	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9804771834018216	1.0040440900673882	1.0154816148917778	1.6317838164317915E-6	-107614.07137636062	-112049.32980769593	-119585.92886728748	-877.049238742945
3800	-339760.36904197425	-890.9362749538303	-338869.4327670204	492731.8028965003	162077.49490101147	143794.86984472926	230998.2477831452	118577.31917343216	1974339.8537844855	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9804771834018216	1.0040440900673882	1.0154816148917778	1.6559068697465995E-6	-107491.20729689705	-111928.43221921955	-119449.79325090381	-876.8094667383828
3900	-339509.37715242006	-886.6581203155512	-338622.7190321045	459628.9457742221	160100.98761600835	134134.3993749826	215479.25358201732	110611.02182573405	2231637.4214175916	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9804771834018216	1.0040440900673882	1.0154816148917778	1.775166653145765E-6	-107433.37738739942	-111839.5508461036	-119349.79079860143	-872.3393346596737
4000	-339410.42046608916	-896.1190428341562	-338514.301423255	540663.2337765842	188327.38558162109	157782.79151805595	254544.06076246264	130112.15525362093	2816060.0162972542	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9804771834018216	0.9908092476222148	1.0287189269847297	1.4225962993734051E-6	-107395.77669035335	-111800.58324651663	-119317.941486385	-881.7888433285677
4100	-339343.77621702617	-895.4873103059301	-338448.28890672023	540663.2337765842	188327.38558162109	157782.79151805595	254544.06076246264	130112.15525362093	2584982.4819019595	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.4616748670087417E-6	-107380.57052858382	-111771.95704339413	-119295.76133474229	-881.2156585538252
4200	-339016.5813767158	-892.453221851149	-338124.12815486465	511866.6525292403	191394.36299475248	149379.0298203261	240986.6404149122	123182.17552510071	2190137.8020663983	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.5439057348666811E-6	-107276.46095745348	-111659.35810105098	-119188.30909636019	-878.2926466475724
4300	-338896.01046809123	-896.1056124196708	-337999.9048556716	541866.0819297007	202823.2163602651	158298.99486519973	255376.82899337655	133156.41108488332	2221136.0689371596	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.456908434603859E-6	-107244.37102986858	-111609.03366706225	-119146.50015874076	-881.9889235919896
4400	-338815.60222141695	-898.7197453660148	-337916.88247605093	571989.0773080367	214098.40595560163	166527.71947933844	269573.5379147141	140558.73813480957	2715027.5899365554	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.3723878108198193E-6	-107219.52078169037	-111580.75217449685	-119116.60951986372	-884.4619779960374
4500	-338496.33086144197	-909.0526028306268	-337587.27825861133	676351.3708962583	253161.74052881723	196911.542248598	326353.72497827176	166204.3892102673	2599128.910867153	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.160625780323923E-6	-107084.10191733453	-111487.24451352001	-119015.9318277568	-895.0058864536554
