# BEAST v1.6.1, Build r3651
# Generated Tue Jan 05 02:06:50 EST 2016 [seed=1451977571559]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
25000	-336051.9057413355	-1082.10156904392	-334969.80417229154	1.8073720289287064E7	7941420.728303868	6447984.237950087	3309849.40190281	4379098.265919632	7.268167717918333E7	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7333798254725207	0.9280491412681776	0.9886969684648214	1.0832538902670013	5.59272778395299E-8	-106524.48096071614	-110785.72744138722	-117659.59577018817	-1066.8530084688393
26000	-335986.057522175	-1092.4914409626795	-334893.56608121237	2.2159781101683382E7	1.0234185485768382E7	7882056.7193195	3965304.734591521	5250640.082901573	7.61239443243088E7	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7333798254725207	0.9280491412681776	0.9793136249952599	1.0926372337365629	4.717973557281068E-8	-106490.07191766503	-110773.88825906451	-117629.6059044828	-1077.366524528526
27000	-335886.54705481767	-1069.6490303772584	-334816.8980244404	1.4459273421694987E7	6814271.638307877	5251525.0421948265	2645666.9793533664	3495864.4581286153	5.666799706554431E7	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7365536631462716	0.9230792406394717	0.973575070272916	1.1033456890876125	7.046906966605274E-8	-106476.65504077011	-110758.19276775881	-117582.05021591145	-1054.4184589689473
28000	-335897.4263333625	-1114.3263743962546	-334783.09995896625	3.345044972134745E7	1.5038253207110526E7	1.1587463157575252E7	5845672.870289478	8000987.173242041	1.1216783258995701E8	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7365536631462716	0.9230792406394717	0.9828683963148983	1.0940523630456302	3.153515748905672E-8	-106475.45728673224	-110745.28126268985	-117562.36140954417	-1099.216283139142
29000	-335859.80438779993	-1086.089735251554	-334773.71465254837	1.885969855823499E7	8804414.895458248	6912445.212618119	3516701.98163677	4760083.205296449	6.5670542072331E7	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7365536631462716	0.9230792406394717	1.0109680334936988	1.0659527258668298	5.2441818909703183E-8	-106468.55879975333	-110746.68220271525	-117558.47365007982	-1071.0068970863688
30000	-335861.1984006578	-1094.9927160375955	-334766.2056846202	2.2729406388055015E7	1.031142995986245E7	8093866.070875354	4116425.384612332	5572680.054231738	8.859914719954838E7	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.651508570604473	0.7365536631462716	0.9136039253799679	1.0247532642696686	1.0616428103503637	4.491637167127994E-8	-106465.09486061896	-110746.04444153131	-117555.06638246987	-1079.765153183158
31000	-335883.7988304217	-1126.6827342422598	-334757.11609617947	3.8481595952222265E7	1.825061803413428E7	1.4331091952706141E7	7280713.145700347	9874415.57403217	1.4600608510976148E8	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6965862037677559	0.651508570604473	0.7365536631462716	0.9136039253799679	1.0247532642696686	1.0616428103503637	2.4769519417109283E-8	-106465.78021667778	-110741.58030818363	-117549.75557131802	-1111.5502386439175
32000	-335899.4340618549	-1139.9264599603894	-334759.5076018945	5.0336590137792744E7	2.2834494416306406E7	1.8255675283213846E7	9104189.415884249	1.2495885827660201E7	1.7018510452542856E8	2.9120247873282867	3.2731514126868304	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.9136039253799679	0.995810644522298	1.0905854300977345	2.0056778096656833E-8	-106470.40020896956	-110736.83383776768	-117552.27355515724	-1124.7715180705932
33000	-335913.9634332775	-1149.2562778597069	-334764.70715541777	5.6636737922665805E7	2.7049236851240978E7	2.1622304054452688E7	1.0782296137329131E7	1.479472974962264E7	2.453549361402573E8	2.8731793578065132	3.2731514126868304	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.9136039253799679	0.995810644522298	1.0905854300977345	1.6596159244172672E-8	-106471.22405054948	-110746.52351670092	-117546.95958816734	-1133.9386867130274
34000	-335918.63622204895	-1154.4955132471148	-334764.14070880186	6.353714562718722E7	2.9540293155233532E7	2.3608366193973653E7	1.1804279856915824E7	1.6155756656454364E7	2.77120133288162E8	2.8731793578065132	3.2731514126868304	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.917067484642439	0.995810644522298	1.0871218708352632	1.5516790020760687E-8	-106469.33508718797	-110745.80242092618	-117549.0032006877	-1139.123358259512
