# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:28:17 EST 2016 [seed=1451770041623]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
24000	-335814.93881909177	-1058.2622508984164	-334756.67656819336	1.158112952902934E7	5487329.890963778	4331835.53657523	2149963.854833624	2907815.235727966	4.379289209372717E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.734239920737409	0.9445604494024552	1.0138418268145677	1.0415977237829774	8.673001033905054E-8	-106470.36636368356	-110737.4073359077	-117548.90286860213	-1043.034838944945
25000	-335833.44484448567	-1075.6521360267502	-334757.7927084589	1.5478695170828154E7	7486524.338222285	5912650.055612297	2858395.9146489273	3977432.519175431	5.7908339774585806E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.734239920737409	0.9445604494024552	1.0138418268145677	1.0415977237829774	6.256695230033651E-8	-106466.79825800234	-110743.37974872948	-117547.61470172707	-1060.4715703657662
26000	-335875.6833094597	-1118.1618002624407	-334757.52150919725	3.3458521204619706E7	1.5899602812054142E7	1.2558990765125224E7	6072024.1744097825	8452581.481622793	1.4338612252555892E8	2.8335069501624646	3.3859142112163543	3.5727926319180745	0.6885236439679332	0.6481955729050677	0.734239920737409	0.9445604494024552	1.0138418268145677	1.0415977237829774	2.898222821013805E-8	-106466.1234397571	-110741.55879074299	-117549.83927869715	-1102.8052587968468
27000	-335867.33366727014	-1109.2772902358388	-334758.0563770343	2.931614409756925E7	1.3491899879653098E7	1.0649222535002751E7	5145437.10118099	7167061.885413172	9.468664224287929E7	2.8335069501624646	3.3859142112163543	3.5727926319180745	0.6885236439679332	0.6481955729050677	0.7135951512443481	0.9445604494024552	1.0138418268145677	1.0415977237829774	3.5030401338609006E-8	-106462.29731523608	-110743.9529806635	-117551.8060811347	-1094.1463730434289
28000	-335845.5416372872	-1088.8675658100394	-334756.67407147714	2.0435155489796408E7	9461542.64382489	7470747.680862945	3613696.48333001	5031044.38818845	7.979538177736482E7	2.8335069501624646	3.3859142112163543	3.5727926319180745	0.6885236439679332	0.6481955729050677	0.7135951512443481	0.9097652864909681	1.0138418268145677	1.0763928866944645	5.030115204879928E-8	-106461.76972357916	-110748.66824305133	-117546.23610484661	-1073.5463060495679
29000	-335815.06200823723	-1053.195484885655	-334761.8665233516	1.0934200147868011E7	4854073.152126837	3939446.9275617762	1939063.78864153	2649485.7586808978	4.514527771598206E7	2.8335069501624646	3.3859142112163543	3.5727926319180745	0.6885236439679332	0.6481955729050677	0.7135951512443481	0.9097652864909681	1.0138418268145677	1.0763928866944645	9.346390339733158E-8	-106467.45252779189	-110743.1833761636	-117551.23061939607	-1037.8248772979593
30000	-335846.89356761944	-1084.8559676800419	-334762.0375999394	1.8257471606579147E7	8393176.67967711	6817271.368154184	3355801.678591304	4585549.648872164	5.608605041034893E7	2.8335069501624646	3.3859142112163543	3.5727926319180745	0.6885236439679332	0.6481955729050677	0.7135951512443481	0.9097652864909681	1.0138418268145677	1.0763928866944645	5.444839028562843E-8	-106469.33291263503	-110750.33445826579	-117542.37022903858	-1069.8081403439887
31000	-335837.057818453	-1073.9750645805887	-334763.08275387244	1.574518954755359E7	7093866.490539843	5764667.505002851	2836168.2405580683	3871319.2123041996	5.749694933930292E7	2.8335069501624646	3.3859142112163543	3.538747051107535	0.6885236439679332	0.6481955729050677	0.7135951512443481	0.9060302023607658	1.0220720416827862	1.0718977559564484	6.517244216816477E-8	-106474.24361164565	-110738.47466619883	-117550.36447602794	-1058.7340093551852
32000	-335880.3868851922	-1110.4578033160028	-334769.9290818762	3.073930399470195E7	1.3495932030867696E7	1.0935147970808169E7	5391694.014528876	7369789.423462513	1.0020065183561176E8	2.8335069501624646	3.3859142112163543	3.538747051107535	0.6885236439679332	0.6689804936703959	0.7135951512443481	0.9060302023607658	1.0220720416827862	1.0718977559564484	3.360408114461821E-8	-106472.57760940118	-110743.2111246877	-117554.14034778727	-1095.323032090113
33000	-335895.50809581537	-1134.074091604469	-334761.4340042109	4.465859669695039E7	2.0701958561401665E7	1.6771956761457013E7	8272765.578538349	1.1017440568822633E7	1.7642081986495176E8	2.8335069501624646	3.375929856826992	3.538747051107535	0.6885236439679332	0.6689804936703959	0.7135951512443481	0.9281428602587533	0.9799622158323074	1.0918949239089397	2.2604213363414394E-8	-106475.98672007331	-110743.6317863417	-117541.81549779589	-1118.7731030488715
