# BEAST v1.8.2, r6687
# Generated Mon Feb 29 01:59:52 EST 2016 [seed=1456729175542]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1-M)	tmrca(HIV-1-O)	tmrca(HIV-2)	tmrca(HIV-1-N)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
72000	-317127.12394044595	-503.1831048421925	-316623.94083560375	786.2364964141183	120.95783773997532	744.8693391429844	202.316727615028	52.353084168983074	3701.350343408479	3.446100848696758	0.3481001774451934	0.23468919735975877	0.20803204154084887	0.2091785836541989	0.6853866565845073	0.0010426648813911057	-316623.94083560375	-491.836711012302
78000	-317122.98579022096	-507.4327017644939	-316615.55308845645	831.0450207141042	128.69453197273748	799.5102178501847	219.3494803626055	57.32687944417189	4134.652542003314	3.446100848696758	0.3481001774451934	0.23461371060968927	0.20803204154084887	0.20925407040426838	0.6853866565845073	9.64910943182217E-4	-316615.55308845645	-496.0530242179574
84000	-317120.3754215164	-503.97140686928293	-316616.4040146471	808.4682745080189	123.77675475080964	756.7500833822328	206.31561346311403	53.48436173473649	3187.223003335406	3.446100848696758	0.3490666927715986	0.23461371060968927	0.2070655262144437	0.20925407040426838	0.6853866565845073	0.0010038989767893608	-316616.4040146471	-492.8124113209987
90000	-317133.8775853848	-505.23994417049204	-316628.6376412143	821.520240408934	123.27285592442583	789.4810898766439	209.0263038141827	54.835552257382915	3313.673146070083	3.446100848696758	0.35042756899920785	0.2357332395468902	0.2070655262144437	0.2067736652394582	0.6853866565845073	9.932611169256365E-4	-316628.6376412143	-494.0526837869892
96000	-317131.10052929714	-511.27150803628604	-316619.82902126084	895.6535259517265	131.30915168979558	846.7398354941809	227.80227901489943	59.19937919582918	2999.956559839579	3.446100848696758	0.35042756899920785	0.2357332395468902	0.2070655262144437	0.2067736652394582	0.6853866565845073	9.116268390772025E-4	-316619.82902126084	-500.26938429741983
102000	-317145.0767539358	-507.67409207818775	-316637.4026618576	849.5696757022499	122.34342161669306	799.0876795562325	211.12730005833825	59.573665888767	4067.126988741627	3.4779268022156646	0.3541578845042779	0.22951880037691408	0.20868609481268857	0.20763722030611945	0.676210933192591	9.53750893675603E-4	-316637.4026618576	-496.3302382614054
108000	-317130.0090683956	-507.44736754380074	-316622.5617008518	838.5251677414808	121.88290092836483	794.8523194281245	223.54225418786547	56.13917649448949	3830.3741651137166	3.4779268022156646	0.3511908058363622	0.23570909161858	0.20546288223893833	0.20763722030611945	0.676210933192591	9.627429699598744E-4	-316622.5617008518	-496.15411350991667
114000	-317139.15171023435	-515.3370493854038	-316623.81466084893	967.456034463604	145.61048177145736	937.6432950629	242.08838966487428	64.10917910226635	4689.334221501506	3.4779268022156646	0.3537650307914297	0.23313486666351252	0.20546288223893833	0.20763722030611945	0.6841921672684687	8.510172932751143E-4	-316623.81466084893	-503.9487355385272
120000	-317133.7734069213	-519.1762573858892	-316614.59714953543	1043.3532172125592	155.47625736418405	992.7873925310662	267.5393347049704	68.38098870463878	4303.2391109114205	3.416326760032962	0.3528425267957909	0.23233549641697826	0.20718475648111134	0.20763722030611945	0.6894114835708409	7.742377026444019E-4	-316614.59714953543	-507.97847330106566
126000	-317128.3580942185	-519.2896679276117	-316609.0684262909	1050.098663852302	154.28360335352858	1010.6069812531493	265.40352644250686	69.72182045707292	4652.416732931644	3.416326760032962	0.3528425267957909	0.23196154989226977	0.20732478186478764	0.20787114144715163	0.6894114835708409	7.717743894518378E-4	-316609.0684262909	-508.0170485373439
132000	-317133.6062815467	-516.1654606871646	-316617.4408208595	983.1372638488583	145.60664157731063	948.8476064341279	246.07081582807422	67.94083257581767	4455.492641268831	3.416326760032962	0.3528425267957909	0.23196154989226977	0.2040305736607648	0.21116534965117448	0.6796486331719926	8.166226398310689E-4	-316617.4408208595	-504.8991877759849
138000	-317127.1835721294	-510.46469618772346	-316616.7188759417	905.4008936578314	131.1393290810194	874.0435072556035	230.78484696691626	59.49472781991259	3738.16583286128	3.416326760032962	0.3528425267957909	0.23298186697350678	0.2040305736607648	0.21014503256993747	0.6796486331719926	9.149114019955183E-4	-316616.7188759417	-499.260429263576
