# BEAST v1.6.1, Build r3651
# Generated Sun Jan 24 07:25:06 EST 2016 [seed=1453638294803]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
23000	-317903.7429011991	-484.8698133754398	-317418.8730878236	617.3628903235523	152.42505930119233	267.4284619598514	2329.29539531061	3.1627635701554215	0.7037328805649701	0.0014169509796840025	-317418.8730878236	-474.4542251066272
24000	-317905.1447035162	-487.0957972183057	-317418.0489062979	621.6337190676483	154.98073079918893	277.7063340618864	2935.7532573100398	3.1627635701554215	0.7037328805649701	0.0013607569288126915	-317418.0489062979	-476.48923654448214
25000	-317901.9748575431	-486.1258699254107	-317415.84898761765	613.7453698623639	154.09494631078175	271.16772531761166	2618.7239327875345	3.1627635701554215	0.7037328805649701	0.0013850069701617583	-317415.84898761765	-475.6159397456141
26000	-317909.2824633736	-488.35657586968006	-317420.92588750395	638.8019226451217	160.41177171899676	287.74567196415217	2405.728824092881	3.1627635701554215	0.7037328805649701	0.0013246750211853597	-317420.92588750395	-477.97597346967683
27000	-317902.3178603177	-487.80643971740915	-317414.5114206003	622.134214887515	157.4992957521081	272.87780040932955	2966.8742686482883	3.1627635701554215	0.7037328805649701	0.0013421080096167606	-317414.5114206003	-477.2031199564704
28000	-317906.6895295538	-489.882700606802	-317416.80682894704	654.223145062291	165.0091557940587	297.71709691382296	2599.461396390658	3.1867550528832647	0.7037328805649701	0.0012699981064278193	-317416.80682894704	-479.45844877668344
29000	-317908.28272872354	-490.12895994170793	-317418.1537687818	661.9552505357642	165.57235545567346	286.8011177352967	2560.384208741331	3.1867550528832647	0.7037328805649701	0.0012672603170348416	-317418.1537687818	-479.72201096567306
30000	-317904.35239444074	-490.84145660181485	-317413.51093783893	674.6373895296377	168.844320021734	290.6678083206027	2502.9334626234418	3.1867550528832647	0.7037328805649701	0.0012627075072885376	-317413.51093783893	-480.46079703969394
31000	-317910.0487513706	-490.22933227270846	-317419.81941909785	658.6681759042402	165.89675743782254	285.59353898158633	3025.189967147413	3.1867550528832647	0.7037328805649701	0.001309505011862286	-317419.81941909785	-479.6228076138507
32000	-317921.98272989667	-497.6547293132992	-317424.3280005834	693.6270403508998	176.97890712291013	316.0783611278647	4145.367525523512	3.1867550528832647	0.7037328805649701	0.0012277462386731768	-317424.3280005834	-486.79759175379576
33000	-317911.79861306667	-491.77927501136156	-317420.0193380553	683.1566146392902	170.2042792586389	300.3525602783004	2981.5837611406782	3.2218050805260887	0.7037328805649701	0.0012203325794164852	-317420.0193380553	-481.2456349295733
34000	-317906.22263678204	-492.0380851477487	-317414.1845516343	690.5680151106397	174.3994800747845	304.7413298369197	2871.150455119197	3.2218050805260887	0.7037328805649701	0.0012303547690823637	-317414.1845516343	-481.53401592271587
35000	-317900.8164804121	-490.69368608120044	-317410.1227943309	676.6668869952528	170.718236633018	294.92744627439544	2391.0112921888176	3.2218050805260887	0.7037328805649701	0.0012709205463160586	-317410.1227943309	-480.34020672858446
36000	-317907.78799051576	-490.42148640555166	-317417.3665041102	675.9299619594298	169.07409989857828	290.4338846792147	2641.3091609988314	3.2218050805260887	0.7037328805649701	0.001258849942420154	-317417.3665041102	-479.9779821622542
37000	-317907.76764999813	-492.0578501327184	-317415.70979986544	686.543969187472	171.71315619784718	294.9945159942068	3124.0877633065957	3.2218050805260887	0.7037328805649701	0.0012502812028532479	-317415.70979986544	-481.45330150339936
38000	-317908.1575272623	-491.59576740635976	-317416.56175985595	682.2848851662804	170.6479064940938	296.6808271158298	3168.7708410039722	3.2218050805260887	0.6830607994868249	0.0012526634619413474	-317416.56175985595	-480.97511567197574
39000	-317906.78014577035	-489.4565570713148	-317417.32358869904	654.221476393923	164.24703721335814	285.37816901228103	2810.407176071518	3.2218050805260887	0.6830607994868249	0.001287932132256782	-317417.32358869904	-478.9281815776064
40000	-317909.1332909029	-490.45699372900293	-317418.6762971739	665.6794076015074	167.12363378095085	284.9871678119027	2843.9312038907674	3.2218050805260887	0.6830607994868249	0.0012766691611646988	-317418.6762971739	-479.92553498222946
41000	-317902.42312633427	-489.7682421012265	-317412.654884233	659.6767859001532	165.40858995124557	296.0072435091712	2713.306882602333	3.2218050805260887	0.6859478559860845	0.0012787253321015345	-317412.654884233	-479.2821948615143
42000	-317903.4575830309	-489.6789997236792	-317413.7785833072	666.5857974582585	167.87276705778524	295.44184453019994	2593.502411447872	3.2218050805260887	0.6859478559860845	0.0012807392743741782	-317413.7785833072	-479.2365392320833
43000	-317900.1265539825	-489.2184362468556	-317410.90811773564	658.7750452579719	160.26463272769226	286.8011241531852	2744.275836758835	3.2218050805260887	0.6859478559860845	0.0012937744703185735	-317410.90811773564	-478.7093514620543
