# BEAST v1.6.1, Build r3651
# Generated Wed Jan 06 01:39:04 EST 2016 [seed=1452062334603]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
42000	-336156.5541697826	-1332.522270358103	-334824.0318994245	1.733612986632991E9	6.122284873171397E8	3.0988685455640095E8	7.827336347758645E8	4.168182954380034E8	6.480770562146206E9	3.1855925768024376	0.6917958933086248	5.858445270565012E-10	-334824.0318994245	-1321.9440136040496
43000	-336148.5244409762	-1321.5383928666515	-334826.98604810954	1.413314644005816E9	5.0264342306228745E8	2.5162157176473522E8	6.426344431741439E8	3.422139617864763E8	5.292284040016678E9	3.1855925768024376	0.6917958933086248	7.093742238635965E-10	-334826.98604810954	-1310.9715881759125
44000	-336174.81386958284	-1345.1336234967744	-334829.6802460861	2.166546141935444E9	7.614234550159324E8	3.811711142029659E8	9.734838876424524E8	5.184010677491419E8	7.105928903634142E9	3.1855925768024376	0.6917958933086248	4.683611005872262E-10	-334829.6802460861	-1334.6868677139676
45000	-336175.4369019089	-1346.0436269137845	-334829.3932749951	2.0575475707448945E9	7.984417627374933E8	4.053780862386063E8	9.949775644459485E8	5.2975738843094575E8	8.176911411342867E9	3.1855925768024376	0.6917958933086248	4.60906778111959E-10	-334829.3932749951	-1335.4725138533763
46000	-336181.79023022065	-1356.5126420388715	-334825.2775881818	2.584288634560307E9	9.49401401052842E8	4.884786573561147E8	1.198942972199163E9	6.383517456146432E8	9.730061088620611E9	3.1855925768024376	0.6917958933086248	3.8165555067411625E-10	-334825.2775881818	-1345.9561119316882
47000	-336223.2388473508	-1390.8632512196127	-334832.3755961312	4.995587229904003E9	1.7396401871448572E9	8.950677920376848E8	2.196900631418474E9	1.1696896929552605E9	2.0733729336812412E10	3.1855925768024376	0.6917958933086248	2.1143263405311967E-10	-334832.3755961312	-1380.1402009335661
48000	-336213.34441289934	-1388.1812298541877	-334825.16318304517	4.732205852154058E9	1.6663142314520361E9	8.573364524804184E8	2.1042957074818766E9	1.12038677500534E9	1.8147348970985256E10	3.1855925768024376	0.6917958933086248	2.169563235985795E-10	-334825.16318304517	-1377.5656530537622
49000	-336207.7954661752	-1383.3762592386938	-334824.4192069365	4.321506034693357E9	1.5282771928236074E9	7.863156935938461E8	1.9299867574805834E9	1.0665893356322172E9	1.578684389299443E10	3.1855925768024376	0.6917958933086248	2.3801008722521377E-10	-334824.4192069365	-1372.8075056183989
50000	-336191.3257307673	-1365.394284568093	-334825.9314461992	3.0000327469245024E9	1.0808408264179387E9	5.564883043905953E8	1.3649435274549923E9	7.543238191766647E8	1.4226433631135439E10	3.1855925768024376	0.6917958933086248	3.321162258534334E-10	-334825.9314461992	-1354.5967673610098
51000	-336246.9610195892	-1422.7083358183143	-334824.2526837709	8.500496750393971E9	3.0774668310270815E9	1.584505917900186E9	3.8862650714678926E9	2.1476869616944423E9	3.2439388454834236E10	3.1855925768024376	0.6917958933086248	1.1905372316570809E-10	-334824.2526837709	-1412.1114312201541
